Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
253,2.530000,-0.001521,0.002541,-0.997147,-0.075432,-402.559021,1494.817261,110.495682
254,2.540000,-0.001449,-0.002428,-0.995906,-0.090354,-401.910614,1496.062256,110.523590
255,2.550000,-0.001232,-0.002802,-0.994826,-0.101543,-401.486877,1497.269531,110.564873
256,2.560000,-0.002482,-0.001333,-0.993466,-0.114092,-401.222351,1498.634399,110.643227
257,2.570000,-0.002471,0.000690,-0.992060,-0.125736,-401.025757,1499.758911,110.609047
258,2.580000,-0.002322,0.002236,-0.990613,-0.136661,-400.931732,1500.830811,110.555351
259,2.590000,-0.002649,0.002363,-0.989038,-0.147622,-400.765015,1501.737793,110.547279
260,2.600000,-0.003353,0.001526,-0.987306,-0.158788,-400.515350,1502.775146,110.652245
261,2.610000,-0.003605,0.002566,-0.985493,-0.169657,-400.076355,1503.858765,110.670235
262,2.620000,-0.003236,0.001483,-0.983371,-0.181575,-399.540680,1505.008911,110.660446
263,2.630000,-0.004272,0.002766,-0.980963,-0.194130,-398.912720,1506.234985,110.759666
264,2.640000,-0.004354,0.002791,-0.978563,-0.205884,-398.342255,1507.326294,110.737862
265,2.650000,-0.004245,0.003074,-0.976222,-0.216710,-397.973999,1508.408203,110.719826
266,2.660000,-0.004441,0.002881,-0.973645,-0.228007,-397.612915,1509.460449,110.719200
